City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Magdalena,PH,14.1999,121.429,78.8,78,75,3.44
240,Gitarama,RW,-2.0744,29.7567,66.2,88,75,9.22
241,Inirida,CO,3.8653,-67.9239,83.07,78,100,2.8
242,Strezhevoy,RU,60.7333,77.5889,12.2,92,90,6.71
243,Marzuq,YE,14.4,46.4667,57.34,53,0,6.31
244,Tucuma,BR,-0.1833,-50.05,81.82,78,32,8.16
245,Koygorodok,RU,60.445,50.9968,17.71,97,100,11.59
246,Jacmel,HT,18.2342,-72.5347,82.06,63,7,7.43
247,Tambura,SS,5.6,27.4667,75.42,21,4,5.77
248,Bathsheba,BB,13.2167,-59.5167,80.6,57,40,23.02
249,Omboue,GA,-1.5746,9.2618,79.07,89,100,5.7
250,Gurupa,BR,-1.405,-51.64,88.2,56,46,4.68
251,Mpika,ZM,-11.8343,31.4529,63.95,96,100,3.53
252,Adrar,MR,20.5022,-10.0711,65.97,27,19,10.69
253,Pleshanovo,RU,52.8333,53.4833,34.61,98,100,12.53
254,Kashi,CN,39.4547,75.9797,32.0,51,100,11.18
255,Agucadoura,PT,41.4318,-8.7804,50.0,93,75,6.91
256,Palmer,US,42.1584,-72.3287,39.99,75,75,3.44
257,Stepnyak,KZ,52.8339,70.7803,31.57,98,82,9.8
258,Loksa,EE,59.5764,25.7214,12.99,85,75,8.05
259,Ajaccio,FR,42.0,8.9167,48.2,93,39,8.05
260,Svetlyy,RU,54.675,20.1347,12.2,92,75,6.71
261,Riachao,BR,-7.3619,-46.6172,79.52,79,96,4.85
262,Wukari,NG,7.85,9.7833,82.4,16,0,5.91
263,Coquimbo,CL,-29.9533,-71.3436,66.2,68,40,12.66
264,Asasa,ET,7.1,39.2,57.38,45,69,1.59
265,Camacupa,AO,-12.0167,17.4833,64.8,84,100,2.28
266,Oristano,IT,39.9,8.6,55.0,95,0,4.0
267,Povenets,RU,62.8487,34.8262,1.63,91,93,13.56
268,Zlitan,LY,32.4674,14.5687,66.69,31,0,13.2
269,Nouakchott,MR,18.0858,-15.9785,64.4,82,55,18.41
270,Solhan,TR,38.9634,41.0293,26.82,87,0,5.23
271,Tessalit,ML,20.1986,1.0114,74.07,17,51,13.24
272,Kobryn,BY,52.2138,24.3564,14.4,95,39,4.68
273,Chapais,CA,49.7834,-74.8492,24.8,74,90,21.85
274,Humaita,BR,-7.5061,-63.0208,78.6,92,100,0.98
275,Hamilton,US,39.1834,-84.5333,37.99,51,40,14.97
276,Dindori,IN,22.95,81.0833,52.79,76,18,6.49
277,Carbonia,IT,39.1672,8.5222,57.2,100,40,8.05
278,Salinopolis,BR,-0.6136,-47.3561,81.32,75,14,11.39
279,Kajiado,KE,-1.8524,36.7768,62.37,79,0,10.56
280,Manta,EC,-0.95,-80.7333,82.4,74,75,4.61
281,Ayagoz,KZ,47.9714,80.4392,19.44,91,100,4.94
282,Grenville,GD,12.1167,-61.6167,84.2,61,20,23.02
283,Sapele,NG,5.8941,5.6767,82.09,77,8,5.14
284,Muyezerskiy,RU,63.9333,31.65,6.58,94,100,10.83
285,Rorvik,NO,64.8621,11.2373,17.6,93,20,4.61
286,Soloneshnoye,RU,51.6544,84.3197,28.4,96,100,3.06
287,Lembeni,TZ,-3.7833,37.6167,68.79,89,4,5.19
288,Araouane,ML,18.9048,-3.5265,81.64,14,100,7.4
289,Thinadhoo,MV,0.5333,72.9333,81.86,77,100,16.8
290,Panaba,MX,21.2833,-88.2667,86.43,48,0,11.05
291,Gurjaani,GE,41.7429,45.8011,44.49,60,11,3.94
292,Ilabaya,PE,-17.4208,-70.5133,72.1,56,100,8.03
293,Peniche,PT,39.3558,-9.3811,54.0,87,100,11.99
294,Natitingou,BJ,10.3042,1.3796,80.56,17,0,5.66
