City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,Bubaque,11.2833,-15.8333,78.21,68,63,13.49,GW,2021-02-04 01:26:04
66,Bijapur,16.8333,75.7,61.74,72,1,9.51,IN,2021-02-04 01:26:04
67,Chuy,-33.6971,-53.4616,69.04,90,100,17.29,UY,2021-02-04 01:26:04
68,Libreville,0.3925,9.4537,82.4,83,40,8.05,GA,2021-02-04 01:26:04
69,Lebu,-37.6167,-73.65,58.12,89,0,11.83,CL,2021-02-04 01:26:04
70,Kargopol,61.5071,38.9456,15.73,97,93,3.69,RU,2021-02-04 01:26:05
71,Paamiut,61.994,-49.6678,8.42,72,0,9.4,GL,2021-02-04 01:26:05
72,Coruripe,-10.1256,-36.1756,77.95,81,98,11.88,BR,2021-02-04 01:26:05
73,Ugoofaaru,5.6667,73.0,81.21,72,14,10.0,MV,2021-02-04 01:21:12
74,Souillac,-20.5167,57.5167,78.8,83,40,3.44,MU,2021-02-04 01:26:05
75,Tazovskiy,67.4667,78.7,-10.41,91,100,8.21,RU,2021-02-04 01:26:05
76,Teguldet,57.3064,88.1667,6.24,95,100,6.64,RU,2021-02-04 01:26:05
77,Palestina,31.9216,35.2033,62.6,63,20,6.91,PS,2021-02-04 01:26:06
78,Upernavik,72.7868,-56.1549,-15.32,70,0,5.39,GL,2021-02-04 01:25:37
79,Constantine,36.365,6.6147,53.42,43,88,5.75,DZ,2021-02-04 01:26:06
80,Carnarvon,-24.8667,113.6333,80.6,100,90,27.63,AU,2021-02-04 01:23:43
81,Acarau,-2.8856,-40.12,79.68,80,100,14.97,BR,2021-02-04 01:22:39
82,Shubarkuduk,49.1447,56.4872,32.31,96,100,4.88,KZ,2021-02-04 01:26:07
83,Fairhope,30.523,-87.9033,48.2,87,1,5.84,US,2021-02-04 01:26:07
84,Riyadh,24.6877,46.7219,62.6,34,0,3.44,SA,2021-02-04 01:26:07
85,Raudeberg,61.9875,5.1352,23.0,74,0,10.36,NO,2021-02-04 01:26:07
86,Murgab,37.4966,61.9714,39.2,70,5,9.22,TM,2021-02-04 01:26:07
87,Neftcala,39.3742,49.2472,47.52,84,50,3.04,AZ,2021-02-04 01:26:07
88,Fredericton,45.9454,-66.6656,33.8,100,90,3.44,CA,2021-02-04 01:25:17
89,Rawson,-43.3002,-65.1023,74.12,43,16,12.28,AR,2021-02-04 01:26:08
90,Chitral,35.8462,71.7858,30.27,57,20,7.27,PK,2021-02-04 01:26:08
91,Kamariotissa,40.4833,25.4667,50.0,93,20,7.7,GR,2021-02-04 01:26:08
92,Gostyn,51.8825,17.0123,46.0,98,100,1.01,PL,2021-02-04 01:26:08
93,Talnakh,69.4865,88.3972,-19.91,86,99,1.43,RU,2021-02-04 01:26:08
94,Notre-Dame-Du-Lac,47.6136,-68.7964,30.2,80,100,3.44,CA,2021-02-04 01:26:08
95,Aswan,24.0934,32.907,59.68,43,0,12.75,EG,2021-02-04 01:24:26
96,Lyubech,51.7026,30.6569,33.12,98,100,6.93,UA,2021-02-04 01:26:09
97,Hofn,64.2539,-15.2082,31.28,91,60,14.97,IS,2021-02-04 01:26:09
98,Kuyanovo,55.8014,54.5372,9.63,93,100,5.61,RU,2021-02-04 01:26:09
99,Saldanha,-33.0117,17.9442,62.6,82,0,5.75,ZA,2021-02-04 01:23:27
100,Inhambane,-23.865,35.3833,77.41,90,22,4.07,MZ,2021-02-04 01:26:09
101,Oranjestad,12.524,-70.027,78.8,83,20,18.41,AW,2021-02-04 01:26:09
